Company Name,UID,Entity Name,Alias,Position,Start Date,End Date,Has Ended,LinkedIn Url,Wiki Url,Other Url,Start Date Assumed,Start Year,Start Month,Start Day,End Date Assumed,End Year,End Month,End Day
Apple Inc,EQT-E3FB65,Luca Maestri,Luca Maestri,Corporate Controller,Mar-2013,May-2014,,https://www.linkedin.com/in/luca-maestri-20082238/,https://en.wikipedia.org/wiki/Luca_Maestri,https://www.bloomberg.com/research/stocks/people/person.asp?personId=50035778&privcapId=24937,TRUE,2013,3,-,TRUE,2014,5,-
Apple Inc,EQT-E3FB65,Daniel Riccio,"Daniel Riccio, Dan Riccio, Daniel J. Riccio",Senior Vice President,27-Aug-12,,,https://en.wikipedia.org/wiki/Dan_Riccio,https://www.linkedin.com/in/dan-riccio-16092210/,https://www.bloomberg.com/research/stocks/people/person.asp?personId=212679225&privcapId=24937,FALSE,2012,8,27,TRUE,-,-,-
Apple Inc,EQT-E3FB65,Daniel Riccio,"Daniel Riccio, Dan Riccio, Daniel J. Riccio",Vice President Product Design,20-Jun-05,2010,,https://en.wikipedia.org/wiki/Dan_Riccio,https://www.linkedin.com/in/dan-riccio-16092210/,https://www.bloomberg.com/research/stocks/people/person.asp?personId=212679225&privcapId=24937,FALSE,2005,6,20,TRUE,2010,-,-
Apple Inc,EQT-E3FB65,Johny Srouji,Johny Srouji,Senior Vice President of Hardware Technology,Dec-2015,,,https://www.linkedin.com/in/johny-srouji-1b7a944/,https://en.wikipedia.org/wiki/Johny_Srouji,https://www.bloomberg.com/research/stocks/people/person.asp?personId=24346997&privcapId=24937,TRUE,2015,12,-,TRUE,-,-,-
Apple Inc,EQT-E3FB65,Johny Srouji,Johny Srouji,Senior Vice President,2014,2016,,https://www.linkedin.com/in/johny-srouji-1b7a944/,https://en.wikipedia.org/wiki/Johny_Srouji,https://www.bloomberg.com/research/stocks/people/person.asp?personId=24346997&privcapId=24937,TRUE,2014,-,-,TRUE,2016,-,-
Apple Inc,EQT-E3FB65,Johny Srouji,Johny Srouji,Vice President of Hardware Technology,Aug-2013,Nov-2015,,https://www.linkedin.com/in/johny-srouji-1b7a944/,https://en.wikipedia.org/wiki/Johny_Srouji,https://www.bloomberg.com/research/stocks/people/person.asp?personId=24346997&privcapId=24937,TRUE,2013,8,-,TRUE,2015,11,-
Apple Inc,EQT-E3FB65,Jeffrey Williams,"Jeffrey Williams, Jeff Williams, Jeffrey E. Williams",Chief Operating Officer,Dec-2015,,,,https://en.wikipedia.org/wiki/Jeff_Williams_(Apple),https://www.bloomberg.com/research/stocks/people/person.asp?personId=109585706&privcapId=24937,TRUE,2015,12,-,TRUE,-,-,-
Apple Inc,EQT-E3FB65,Jeffrey Williams,"Jeffrey Williams, Jeff Williams, Jeffrey E. Williams",Head of Worldwide Procurement,Jun-1998,2004,,,https://en.wikipedia.org/wiki/Jeff_Williams_(Apple),https://www.bloomberg.com/research/stocks/people/person.asp?personId=109585706&privcapId=24937,TRUE,1998,6,-,TRUE,2004,-,-
Apple Inc,EQT-E3FB65,Jeffrey Williams,"Jeffrey Williams, Jeff Williams, Jeffrey E. Williams",Vice President of Operations,2004,Jul-2010,,,https://en.wikipedia.org/wiki/Jeff_Williams_(Apple),https://www.bloomberg.com/research/stocks/people/person.asp?personId=109585706&privcapId=24937,TRUE,2004,-,-,TRUE,2010,7,-
Apple Inc,EQT-E3FB65,Jeffrey Williams,"Jeffrey Williams, Jeff Williams, Jeffrey E. Williams",Senior Vice President of Operations,Jul-2010,,,,https://en.wikipedia.org/wiki/Jeff_Williams_(Apple),https://www.bloomberg.com/research/stocks/people/person.asp?personId=109585706&privcapId=24937,TRUE,2010,7,-,TRUE,-,-,-
Apple Inc,EQT-E3FB65,Bill Rielly,Bill Rielly,Worldwide Small and Midsize Business Director,Mar-2014,Feb-2015,,https://www.linkedin.com/in/billrielly/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=241790772&privcapId=24937,TRUE,2014,3,-,TRUE,2015,2,-
Apple Inc,EQT-E3FB65,Bill Rielly,Bill Rielly,Worldwide Small and Midsize Business Director,Feb-2009,May-2013,,https://www.linkedin.com/in/billrielly/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=241790772&privcapId=24937,TRUE,2009,2,-,TRUE,2013,5,-
Apple Inc,EQT-E3FB65,Tara Sorensen,Tara Sorensen,Vice President of Kids Programming and Production,Jan-2018,,,https://www.linkedin.com/in/tara-sorensen-7340794/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=41589908&privcapId=24937,TRUE,2018,1,-,TRUE,-,-,-
Apple Inc,EQT-E3FB65,Tara Sorensen,Tara Sorensen,Head of Kids Programming,Apr-2012,Dec-2017,,https://www.linkedin.com/in/tara-sorensen-7340794/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=41589908&privcapId=24937,TRUE,2012,4,-,TRUE,2017,12,-
Apple Inc,EQT-E3FB65,Tara Pietri,Tara Pietri,Head of Legal Affairs,Dec-2017,,,https://www.linkedin.com/in/tara-sorensen-7340794/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=41589908&privcapId=24937,TRUE,2017,12,-,TRUE,-,-,-
Apple Inc,EQT-E3FB65,Kashif Zafar,Kashif Zafar,Head of iBooks,Dec-2017,,,https://www.linkedin.com/in/kashifzafar/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=554899696&privcapId=24937,TRUE,2017,12,-,TRUE,-,-,-
Apple Inc,EQT-E3FB65,John Giannandrea,John Giannandrea,Senior Vice President of Machine Learning and AI Strategy,Apr-2018,,,https://www.linkedin.com/in/johngiannandrea/,https://en.wikipedia.org/wiki/John_Giannandrea,https://www.bloomberg.com/research/stocks/people/person.asp?personId=468296&privcapId=24937,TRUE,2018,4,-,TRUE,-,-,-
Apple Inc,EQT-E3FB65,Matthew Bassiur,Matthew Bassiur,Senior Director of Global Security,Jan-2010,Dec-2011,,https://www.linkedin.com/in/matthew-bassiur-258214a2/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=321152553&privcapId=42083601,TRUE,2010,1,-,TRUE,2011,12,-
Apple Inc,EQT-E3FB65,Roger Iger,Roger Iger,Independent Director,Nov-2011,,,,https://en.wikipedia.org/wiki/Bob_Iger,https://www.bloomberg.com/research/stocks/people/person.asp?personId=191572&privcapId=191564,TRUE,2011,11,-,TRUE,-,-,-
Apple Inc,EQT-E3FB65,Raja Koduri,Raja Koduri,Director of Graphics Architecture,Apr-2009,Mar-2013,,https://www.linkedin.com/in/raja-koduri-3a51611/,https://en.wikipedia.org/wiki/Raja_Koduri,https://www.bloomberg.com/research/stocks/people/person.asp?personId=237176868&privcapId=21127,TRUE,2009,4,-,TRUE,2013,3,-
Apple Inc,EQT-E3FB65,Mark Papermaster,Mark Papermaster,Senior Vice President of Devices Hardware Engineering,24-Apr-09,Aug-2010,,https://en.wikipedia.org/wiki/Mark_Papermaster,https://www.bloomberg.com/research/stocks/private/person.asp?personId=50084287&privcapId=168864,,FALSE,2009,4,24,TRUE,2010,8,-
Apple Inc,EQT-E3FB65,Mark Papermaster,Mark Papermaster,Senior Vice President of Devices Hardware Engineering,24-Apr-09,Aug-2010,,https://www.linkedin.com/in/mark-papermaster-66914925/,https://en.wikipedia.org/wiki/Mark_Papermaster,https://www.bloomberg.com/research/stocks/private/person.asp?personId=50084287&privcapId=168864,FALSE,2009,4,24,TRUE,2010,8,-
Apple Pay,N/A,Bill Rielly,Bill Rielly,Head of Parner Marketing,Feb-2015,,,https://www.linkedin.com/in/billrielly/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=241790772&privcapId=24937,TRUE,2015,2,-,TRUE,-,-,-
Applied Materials Inc,EQT-9CECD9,Prashanth Mahendra,"Prashanth Mahendra, Prashanth Mahendra-Rajah",Segment Chief Financial Officer,Jun-2013,May-2014,,https://www.linkedin.com/in/prashanthmahendrarajah/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=265021572&privcapId=251411,TRUE,2013,6,-,TRUE,2014,5,-
Applied Materials Inc,EQT-9CECD9,Prashanth Mahendra,"Prashanth Mahendra, Prashanth Mahendra-Rajah",Vice President of Finance,Jun-2013,May-2014,,https://www.linkedin.com/in/prashanthmahendrarajah/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=265021572&privcapId=251411,TRUE,2013,6,-,TRUE,2014,5,-
Applied Materials Inc,EQT-9CECD9,Prashanth Mahendra,"Prashanth Mahendra, Prashanth Mahendra-Rajah",Vice President of Financial Planning and Analysis,Apr-2012,Jun-2013,,https://www.linkedin.com/in/prashanthmahendrarajah/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=265021572&privcapId=251411,TRUE,2012,4,-,TRUE,2013,6,-
Applied Materials Inc,EQT-9CECD9,Gary Dickerson,"Gary Dickerson, Gary E. Dickerson",Chief Executive Officer,01-Sep-13,,,https://www.linkedin.com/in/gary-dickerson-137a8310/,https://en.wikipedia.org/wiki/Gary_E._Dickerson,https://www.bloomberg.com/research/stocks/people/person.asp?personId=282233&privcapId=251230,FALSE,2013,9,1,TRUE,-,-,-
Applied Materials Inc,EQT-9CECD9,Gary Dickerson,"Gary Dickerson, Gary E. Dickerson",President,19-Jun-12,,,https://www.linkedin.com/in/gary-dickerson-137a8310/,https://en.wikipedia.org/wiki/Gary_E._Dickerson,https://www.bloomberg.com/research/stocks/people/person.asp?personId=282233&privcapId=251230,FALSE,2012,6,19,TRUE,-,-,-
Applied Materials Inc,EQT-9CECD9,Daniel Durn,"Daniel Durn, Daniel J. Durn, Dan Durn",Chief Financial Officer,Aug-2017,,,https://www.linkedin.com/in/dan-durn-a02a8960/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=106626466&privcapId=251230,TRUE,2017,8,-,TRUE,-,-,-
Applied Materials Inc,EQT-9CECD9,Daniel Durn,"Daniel Durn, Daniel J. Durn, Dan Durn",Senior Vice President,07-Aug-17,,,https://www.linkedin.com/in/dan-durn-a02a8960/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=106626466&privcapId=251230,FALSE,2017,8,7,TRUE,-,-,-
Applied Materials Inc,EQT-9CECD9,Ginetto Addiego,"Ginetto Addiego, Gino Addiego",Senior Vice President of Corporate EngineeringQuality and Operations,Apr-2014,,,https://www.linkedin.com/in/gino-addiego-ph-d-3b2421/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=1199382&privcapId=251230,TRUE,2014,4,-,TRUE,-,-,-
Applied Materials Inc,EQT-9CECD9,Ginetto Addiego,"Ginetto Addiego, Gino Addiego",Senior Vice President of Semiconductor Systems,Nov-1996,Jan-2005,,https://www.linkedin.com/in/gino-addiego-ph-d-3b2421/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=1199382&privcapId=251230,TRUE,1996,11,-,TRUE,2005,1,-
Applied Materials Inc,EQT-9CECD9,Ginetto Addiego,"Ginetto Addiego, Gino Addiego",Group Vice President,Sep-2003,May-2004,,https://www.linkedin.com/in/gino-addiego-ph-d-3b2421/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=1199382&privcapId=251230,TRUE,2003,9,-,TRUE,2004,5,-
Applied Materials Inc,EQT-9CECD9,Omkaram Nalamasu,"Omkaram Nalamasu, Om Nalamasu",Chief Technology Officer,Jan-2011,,,https://www.linkedin.com/in/omkaram-nalamasu-9866225/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=108324153&privcapId=251230,TRUE,2011,1,-,TRUE,-,-,-
Applied Materials Inc,EQT-9CECD9,Omkaram Nalamasu,"Omkaram Nalamasu, Om Nalamasu",Corporate Vice President of Advanced Technologies ,Aug-2006,Dec-2010,,https://www.linkedin.com/in/omkaram-nalamasu-9866225/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=108324153&privcapId=251230,TRUE,2006,8,-,TRUE,2010,12,-
Applied Materials Inc,EQT-9CECD9,Omkaram Nalamasu,"Omkaram Nalamasu, Om Nalamasu",Deputy Chief Technology Officer,Aug-2006,Dec-2010,,https://www.linkedin.com/in/omkaram-nalamasu-9866225/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=108324153&privcapId=251230,TRUE,2006,8,-,TRUE,2010,12,-
Applied Materials Inc,EQT-9CECD9,Robert Halliday,"Robert Halliday, Robert J. Halliday, Bob Halliday",Executive,24-Aug-17,,,https://www.linkedin.com/in/robert-halliday-37a46412/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=756570&privcapId=251230,FALSE,2017,8,24,TRUE,-,-,-
Applied Materials Inc,EQT-9CECD9,Robert Halliday,"Robert Halliday, Robert J. Halliday, Bob Halliday",Vice President ,Feb-2013,24-Aug-17,,https://www.linkedin.com/in/robert-halliday-37a46412/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=756570&privcapId=251230,TRUE,2013,2,-,FALSE,2017,8,24
Applied Materials Inc,EQT-9CECD9,Robert Halliday,"Robert Halliday, Robert J. Halliday, Bob Halliday",General Manager,Feb-2013,24-Aug-17,,https://www.linkedin.com/in/robert-halliday-37a46412/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=756570&privcapId=251230,TRUE,2013,2,-,FALSE,2017,8,24
Applied Materials inc,EQT-9CECD9,Larry Sparks,Larry Sparks,Chief Financial Officer of World Wide Operations,Jan-2013,,,https://www.linkedin.com/in/larry-sparks-b49294/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=108324155&privcapId=251230,TRUE,2013,1,-,TRUE,-,-,-
Applied Materials Inc,EQT-9CECD9,Larry Sparks,Larry Sparks,Corporate Vice President,Jan-2013,,,https://www.linkedin.com/in/larry-sparks-b49294/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=108324155&privcapId=251230,TRUE,2013,1,-,TRUE,-,-,-
Applied Materials Inc,EQT-9CECD9,Larry Sparks,Larry Sparks,Chief Financial Officer of Energy and Environmental Solutions and Display,Jan-2009,Dec-2012,,https://www.linkedin.com/in/larry-sparks-b49294/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=108324155&privcapId=251230,TRUE,2009,1,-,TRUE,2012,12,-
Applied Therapeutics Inc,N/A,Joel Marcus,"Joel Marcus, Joel S. Marcus",Director ,Jan-2017,,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=365142&privcapId=365138,TRUE,2017,1,-,TRUE,-,-,-
Applied Therapeutics Inc,N/A,Joel Marcus,"Joel Marcus, Joel S. Marcus",Director ,,,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=365142&privcapId=365138,TRUE,-,-,-,TRUE,-,-,-
AppNexus,EQT-2F8C22,Brian Lesser,"Brian Lesser, Brian D. Lesser",Member Board Of Directors,Oct-2014,Aug-2017,,https://www.linkedin.com/in/brianlesser/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=47692750&privcapId=100231,TRUE,2014,10,-,TRUE,2017,8,-
ApproxiCom LLC,N/A,John Moorefield,"John Moorefield , John A. Moorefield",Owner,Mar-2004,Aug-2005,,https://www.linkedin.com/in/john-moorefield-178454/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=25218255&privcapId=250178,TRUE,2004,3,-,TRUE,2005,8,-
AppViewX Inc,N/A,Manuel Rivelo,"Manuel Rivelo, Manuel F. Rivelo, Manny Rivelo",Member Board Of Directors,Apr-2016,Jan-2018,,https://www.linkedin.com/in/mannyrivelo/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=26874847&privcapId=33348547,TRUE,2016,4,-,TRUE,2018,1,-
APRO Residential Fund,N/A,Paul Beldin,"Paul Beldin, Paul L. Beldin",Chief Financial Officer,Oct-2007,Mar-2008,,,,https://www.bloomberg.com/research/stocks/private/person.asp?personId=25316467&privcapId=204640062&previousCapId=336458&previousTitle=Apartment%20Investment%20and%20Management%20Company,TRUE,2007,10,-,TRUE,2008,3,-
Aptiv PLC,EQT-5C8538,Kevin Clark,"Kevin Clark, Kevin P. Clark",President ,Dec-2017,,,https://www.linkedin.com/in/kevin-clark-263145aa/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=195707&privcapId=59502420,TRUE,2017,12,-,TRUE,-,-,-
Aptiv PLC,EQT-5C8538,Kevin Clark,"Kevin Clark, Kevin P. Clark",Chief Executive Officer,Dec-2017,,,https://www.linkedin.com/in/kevin-clark-263145aa/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=195707&privcapId=59502420,TRUE,2017,12,-,TRUE,-,-,-
Aptiv PLC,EQT-5C8538,Joseph Massaro,"Joseph Massaro, Joseph R. Massaro, Joe Massaro",Senior Vice President ,2013,,,https://www.linkedin.com/in/joe-massaro-1094859/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=30822547&privcapId=59502420,TRUE,2013,-,-,TRUE,-,-,-
Aptiv PLC,EQT-5C8538,Joseph Massaro,"Joseph Massaro, Joseph R. Massaro, Joe Massaro",Chief Financial Officer,2013,,,https://www.linkedin.com/in/joe-massaro-1094859/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=30822547&privcapId=59502420,TRUE,2013,-,-,TRUE,-,-,-
Aptiv PLC,EQT-5C8538,David Paja,David Paja,Senior Vice President ,Feb-2017,,,https://www.linkedin.com/in/david-paja-22324a/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=282741688&privcapId=59502420,TRUE,2017,2,-,TRUE,-,-,-
Aptiv PLC,EQT-5C8538,David Paja,David Paja,President of Advanced Safety and User Experience,Feb-2017,,,https://www.linkedin.com/in/david-paja-22324a/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=282741688&privcapId=59502420,TRUE,2017,2,-,TRUE,-,-,-
Aptiv PLC,EQT-5C8538,Tim Clark,"Tim Clark, Tim J. Clark",Senior Vice President of Supply Chain Management,Jan-2018,,,https://www.linkedin.com/in/tim-clark-a268286/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=577547381&privcapId=59502420,TRUE,2018,1,-,TRUE,-,-,-
Aptiv PLC,EQT-5C8538,Matthew Peterson,"Matthew Peterson, Matt Peterson ",Senior Vice President ,Jan-2018,,,https://www.linkedin.com/in/matt-peterson-126a04/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=33775769&privcapId=59502420,TRUE,2018,1,-,TRUE,-,-,-
Aptiv PLC,EQT-5C8538,Matthew Peterson,"Matthew Peterson, Matt Peterson ",Chief Information Officer,Jan-2018,,,https://www.linkedin.com/in/matt-peterson-126a04/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=33775769&privcapId=59502420,TRUE,2018,1,-,TRUE,-,-,-
Aquantia Corporation,N/A,Lip-Bu Tan,Lip-Bu Tan,Lead Director,Jan-2016,,,https://www.linkedin.com/in/lip-bu-tan-400b3763/,https://en.wikipedia.org/wiki/Lip-Bu_Tan,https://www.bloomberg.com/profile/person/1497975,TRUE,2016,1,-,TRUE,-,-,-
Arab Bankers Association,N/A,Hani Kablawi,Hani Kablawi,Board Member,,,,https://www.linkedin.com/in/hani-kablawi-5767b17/,,https://www.bloomberg.com/profiles/people/16578284-hani-kablawi,TRUE,-,-,-,TRUE,-,-,-
Arabian Gases,N/A,Naji Skaf,Naji Skaf,General Manager,Jan-2005,Aug-2008,,https://www.linkedin.com/in/najiskaf/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=50177322&privcapId=248356,TRUE,2005,1,-,TRUE,2008,8,-
Aramark Corporation,N/A,Victor Crawford,"Victor Crawford, Victor L. Crawford",Chief Operating Officer of Healthcare,10-Dec-15,Oct-2018,,https://www.linkedin.com/in/victorcrawford,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=756094&privcapId=172207,FALSE,2015,12,10,TRUE,2018,10,-
Aramark Corporation,N/A,Victor Crawford,"Victor Crawford, Victor L. Crawford",Chief Operating Officer of Healthcare,10-Dec-15,,,https://www.linkedin.com/in/victorcrawford,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=756094&privcapId=172207,FALSE,2015,12,10,TRUE,-,-,-
Arby's Restaurant Group Inc,N/A,Scott Boatwright,Scott Boatwright,Senior Vice President,Apr-2015,Apr-2017,,https://www.linkedin.com/in/scott-boatwright-mba-59a0597,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=432503655&privcapId=26446,TRUE,2015,4,-,TRUE,2017,4,-
Arby's Restaurant Group Inc,N/A,Scott Boatwright,Scott Boatwright,Region Vice President,Jan-2012,Mar-2015,,https://www.linkedin.com/in/scott-boatwright-mba-59a0597,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=432503655&privcapId=26446,TRUE,2012,1,-,TRUE,2015,3,-
Arby's Restaurant Group Inc,N/A,Scott Boatwright,Scott Boatwright,Chief Corporate Reputation Officer,Jan-2011,Dec-2011,,https://www.linkedin.com/in/scott-boatwright-mba-59a0597,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=432503655&privcapId=26446,TRUE,2011,1,-,TRUE,2011,12,-
Arch Capital Group Limited ,EQT-1D4905,Mark Lyons,"Mark Lyons, Mark Donald Lyons",Chief Financial Officer,Sep-2012,25-May-18,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=5646663&privcapId=250394,TRUE,2012,9,-,FALSE,2018,5,25
Arch Capital Group Limited ,EQT-1D4905,Mark Lyons,"Mark Lyons, Mark Donald Lyons",Chief Risk Officer,Sep-2012,25-May-18,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=5646663&privcapId=250395,TRUE,2012,9,-,FALSE,2018,5,25
Arch Capital Group Limited ,EQT-1D4905,Mark Lyons,"Mark Lyons, Mark Donald Lyons",Chief Executive Officer,Sep-2012,May-2015,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=5646663&privcapId=250396,TRUE,2012,9,-,TRUE,2015,5,-
Arch Insurance Group Inc,N/A,Mark Lyons,"Mark Lyons, Mark Donald Lyons",Chief Operating Officer,Jun-2006,,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=5646663&privcapId=250399,TRUE,2006,6,-,TRUE,-,-,-
Arch Insurance Group Inc,N/A,Mark Lyons,"Mark Lyons, Mark Donald Lyons",Executive Vice President of Group Operations,Jun-2006,,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=5646663&privcapId=250400,TRUE,2006,6,-,TRUE,-,-,-
Arch Insurance Group Inc,N/A,Mark Lyons,"Mark Lyons, Mark Donald Lyons",Chief Actuary,Aug-2003,,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=5646663&privcapId=250401,TRUE,2003,8,-,TRUE,-,-,-
Arch Insurance Group Inc,N/A,Mark Lyons,"Mark Lyons, Mark Donald Lyons",Senior Vice President,Aug-2003,,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=5646663&privcapId=250402,TRUE,2003,8,-,TRUE,-,-,-
Arch Insurance Group Inc,N/A,Mark Lyons,"Mark Lyons, Mark Donald Lyons",Chief Actuary,Aug-2003,Aug-2003,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=5646663&privcapId=250403,TRUE,2003,8,-,TRUE,2003,8,-
Arch Insurance Group Inc,N/A,Mark Lyons,"Mark Lyons, Mark Donald Lyons",Chief Executive Officer,Aug-2003,Aug-2003,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=5646663&privcapId=250404,TRUE,2003,8,-,TRUE,2003,8,-
Arch Insurance Group Inc,N/A,DonnaLee DeMaio,"DonnaLee DeMaio, DonnaLee Ann DeMaio, Donna DeMaio",Chief Executive Officer,Jan-2017,Mar-2017,,https://www.linkedin.com/in/donnalee-demaio-52489019,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=206696635&privcapId=250388,TRUE,2017,1,-,TRUE,2017,3,-
Arch Worldwide Insurance Group,N/A,Mark Lyons,"Mark Lyons, Mark Donald Lyons",Chairman,Jul-2008,,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=5646663&privcapId=250397,TRUE,2008,7,-,TRUE,-,-,-
Arch Worldwide Insurance Group,N/A,Mark Lyons,"Mark Lyons, Mark Donald Lyons",President,Jul-2008,,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=5646663&privcapId=250398,TRUE,2008,7,-,TRUE,-,-,-
Archer Daniels Midland Company,EQT-5B3F50,Juan Luciano,"Juan Luciano, Juan Ricardo Luciano",Chief Executive Officer,01-Jan-15,,,,https://en.wikipedia.org/wiki/Juan_R._Luciano,https://www.bloomberg.com/research/stocks/people/person.asp?personId=33257370&privcapId=251704,FALSE,2015,1,1,TRUE,-,-,-
Archer Daniels Midland Company,EQT-5B3F50,Juan Luciano,"Juan Luciano, Juan Ricardo Luciano",President,Feb-2014,,,,https://en.wikipedia.org/wiki/Juan_R._Luciano,https://www.bloomberg.com/research/stocks/people/person.asp?personId=33257370&privcapId=251704,TRUE,2014,2,-,TRUE,-,-,-
Archer Daniels Midland Company,EQT-5B3F50,Juan Luciano,"Juan Luciano, Juan Ricardo Luciano",Executive Vice President ,12-Apr-11,Feb-2014,,,https://en.wikipedia.org/wiki/Juan_R._Luciano,https://www.bloomberg.com/research/stocks/people/person.asp?personId=33257370&privcapId=251704,FALSE,2011,4,12,TRUE,2014,2,-
Archer Daniels Midland Company,EQT-5B3F50,Juan Luciano,"Juan Luciano, Juan Ricardo Luciano",Chief Operating Officer,12-Apr-11,Dec-2014,,,https://en.wikipedia.org/wiki/Juan_R._Luciano,https://www.bloomberg.com/research/stocks/people/person.asp?personId=33257370&privcapId=251704,FALSE,2011,4,12,TRUE,2014,12,-
Archer Daniels Midland Company,EQT-5B3F50,Juan Luciano,"Juan Luciano, Juan Ricardo Luciano",Director,05-Nov-14,,,,https://en.wikipedia.org/wiki/Juan_R._Luciano,https://www.bloomberg.com/research/stocks/people/person.asp?personId=33257370&privcapId=251704,FALSE,2014,11,5,TRUE,-,-,-
Archer Daniels Midland Company,EQT-5B3F50,Veronica Braker,"Veronica Braker, Veronica L. Braker",Senior Vice President of Global Operations,Apr-2019,,,https://www.linkedin.com/in/veronica-braker-b418b747/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=613354221&privcapId=251704,TRUE,2019,4,-,TRUE,-,-,-
Archer Daniels Midland Company,EQT-5B3F50,Veronica Braker,"Veronica Braker, Veronica L. Braker",Vice President of Global Operational Excellence,Mar-2019,,,https://www.linkedin.com/in/veronica-braker-b418b747/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=613354221&privcapId=251704,TRUE,2019,3,-,TRUE,-,-,-
Archer Daniels Midland Company,EQT-5B3F50,Christopher Cuddy,"Christopher Cuddy, Christopher M. Cuddy, Chris Cuddy",Senior Vice President ,Feb-2015,,,https://www.linkedin.com/in/christopher-cuddy-92903124/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27231312&privcapId=251704,TRUE,2015,2,-,TRUE,-,-,-
Archer Daniels Midland Company,EQT-5B3F50,Christopher Cuddy,"Christopher Cuddy, Christopher M. Cuddy, Chris Cuddy",President of Corn Business Unit,Feb-2015,,,https://www.linkedin.com/in/christopher-cuddy-92903124/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27231312&privcapId=251704,TRUE,2015,2,-,TRUE,-,-,-
Archer Daniels Midland Company,EQT-5B3F50,Christopher Cuddy,"Christopher Cuddy, Christopher M. Cuddy, Chris Cuddy",President of Corn Sweeteners and Starches,Sep-2011,Feb-2015,,https://www.linkedin.com/in/christopher-cuddy-92903124/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27231312&privcapId=251704,TRUE,2011,9,-,TRUE,2015,2,-
Archer Daniels Midland Company,EQT-5B3F50,Christopher Cuddy,"Christopher Cuddy, Christopher M. Cuddy, Chris Cuddy",Vice President of Corn Processing,Nov-2004,Dec-2008,,https://www.linkedin.com/in/christopher-cuddy-92903124/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27231312&privcapId=251704,TRUE,2004,11,-,TRUE,2008,12,-
