Company Name,UID,Entity Name,Alias,Position,Start Date,End Date,Has Ended,LinkedIn Url,Wiki Url,Other Url,Start Date Assumed,Start Year,Start Month,Start Day,End Date Assumed,End Year,End Month,End Day
3M Company,EQT-6F6641,Michael Roman,"Michael Roman, Michael F. Roman, Mike Roman",Vice President of Industrial Adhesives and Tapes,May-2013,May-2014,,https://www.linkedin.com/in/mike-roman-7758204/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167310&privcapId=289194,TRUE,2013,5,-,TRUE,2014,5,-
3M Company,EQT-6F6641,Michael Roman,"Michael Roman, Michael F. Roman, Mike Roman",General Manager of Industrial Adhesive and Tapes,May-2013,May-2014,,https://www.linkedin.com/in/mike-roman-7758204/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167310&privcapId=289194,TRUE,2013,5,-,TRUE,2014,5,-
3M Company,EQT-6F6641,Michael Roman,"Michael Roman, Michael F. Roman, Mike Roman",Director of Six Sigma,Jun-2003,Oct-2005,,https://www.linkedin.com/in/mike-roman-7758204/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167310&privcapId=289194,TRUE,2003,6,-,TRUE,2005,10,-
3M Company,EQT-6F6641,Michael Roman,"Michael Roman, Michael F. Roman, Mike Roman",Director of Europe Business Unit,Nov-2000,Jun-2003,,https://www.linkedin.com/in/mike-roman-7758204/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167310&privcapId=289194,TRUE,2000,11,-,TRUE,2003,6,-
3M Company,EQT-6F6641,Inge Thulin,Inge Thulin,Executive Chairman,01-Jun-12,,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=7020442&privcapId=289194,FALSE,2012,6,1,TRUE,-,-,-
3M Company,EQT-6F6641,Inge Thulin,Inge Thulin,Chief Executive Officer,24-Feb-12,Jun-2018,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=7020442&privcapId=289194,FALSE,2012,2,24,TRUE,2018,6,-
3M Company,EQT-6F6641,Inge Thulin,Inge Thulin,President,24-Feb-12,Jun-2018,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=7020442&privcapId=289194,FALSE,2012,2,24,TRUE,2018,6,-
3M Company,EQT-6F6641,Inge Thulin,Inge Thulin,Executive Vice President,01-May-11,24-Feb-12,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=7020442&privcapId=289194,FALSE,2011,5,1,FALSE,2012,2,24
3M Company,EQT-6F6641,Inge Thulin,Inge Thulin,Chief Operating Officer,01-May-11,24-Feb-12,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=7020442&privcapId=289194,FALSE,2011,5,1,FALSE,2012,2,24
3M Company,EQT-6F6641,Inge Thulin,Inge Thulin,Executive Vice President of International Operations,2004,01-May-11,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=7020442&privcapId=289194,TRUE,2004,-,-,FALSE,2011,5,1
3M Company,EQT-6F6641,Inge Thulin,Inge Thulin,Vice President of 3M Company Operations Europe and The Middle East,2002,2003,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=7020442&privcapId=289194,TRUE,2002,-,-,TRUE,2003,-,-
3M Company,EQT-6F6641,Inge Thulin,Inge Thulin,Vice President of Skin Health,2000,2002,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=7020442&privcapId=289194,TRUE,2000,-,-,TRUE,2002,-,-
3M Company,EQT-6F6641,Inge Thulin,Inge Thulin,General Manager of Skin Health,1999,2000,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=7020442&privcapId=289194,TRUE,1999,-,-,TRUE,2000,-,-
3M Company,EQT-6F6641,Inge Thulin,Inge Thulin,Director,08-Feb-12,,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=7020442&privcapId=289194,FALSE,2012,2,8,TRUE,-,-,-
3M Company,EQT-6F6641,John Banovetz,John Banovetz,Senior Vice President of Research and Development,01-Jul-17,,,https://www.linkedin.com/in/john-banovetz-5004666/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=434956119&privcapId=289194,FALSE,2017,7,1,TRUE,-,-,-
3M Company,EQT-6F6641,John Banovetz,John Banovetz,Chief Technology Officer,01-Jul-17,,,https://www.linkedin.com/in/john-banovetz-5004666/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=434956119&privcapId=289194,FALSE,2017,7,1,TRUE,-,-,-
3M Company,EQT-6F6641,John Banovetz,John Banovetz,"Managing Director Germany, Austria and Switzerland",01-Jul-17,Jul-2017,,https://www.linkedin.com/in/john-banovetz-5004666/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=434956119&privcapId=289194,FALSE,2017,7,1,TRUE,2017,7,-
3M Company,EQT-6F6641,John Banovetz,John Banovetz,Vice President of Corporate Research Laboratory,01-Jul-17,Mar-2016,,https://www.linkedin.com/in/john-banovetz-5004666/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=434956119&privcapId=289194,FALSE,2017,7,1,TRUE,2016,3,-
3M Company,EQT-6F6641,John Banovetz,John Banovetz,Global Business Director of Industrial Adhesives and Tape,01-Jul-17,May-2015,,https://www.linkedin.com/in/john-banovetz-5004666/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=434956119&privcapId=289194,FALSE,2017,7,1,TRUE,2015,5,-
